model_name,training_time,prediction_time,cv_mean,cv_std,y_pred,accuracy,balanced_accuracy,f1_macro,f1_weighted,oob_score,feature_importance_std,key_metric,key_metric_name,mcc,log_loss,auc_ovr,n_support_vectors,support_vector_ratio,decision_score_std,avg_predicted_prob,n_iterations,final_loss,loss_improvement
Voting (Soft),1.6477253437042236,0.10946965217590332,0.9914843138739557,0.005760495388223575,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3  8  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2 20 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5 11  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9915014164305949,0.991644385026738,0.9916416079895035,0.9914986472603214,,,f1_macro,F1-Score (Macro),0.991103337544816,,,,,,,,,
Voting (Hard),1.7131640911102295,0.14202523231506348,0.9914843138739557,0.007300891685668246,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3  8  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2 20 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5 11  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9915014164305949,0.991644385026738,0.9916416079895035,0.9914986472603214,,,f1_macro,F1-Score (Macro),0.991103337544816,,,,,,,,,
Random Forest,0.24930882453918457,0.03412461280822754,0.9936094495343379,0.005217880917932041,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3 20  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2 20 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5 11  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9886685552407932,0.9888034759358288,0.9888613829962803,0.9886501204786866,0.9914833215046132,0.06050805894397801,oob_score,Out-of-Bag Score,0.9881431902168049,,,,,,,,,
LightGBM,3.875795602798462,0.01128697395324707,0.9872315186391056,0.010659730749351701,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3  8  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5  9 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2 20 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5 11  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9886685552407932,0.988614081996435,0.9886967994020616,0.9886598657754522,,,log_loss,Log Loss (lower is better),0.9881431902168049,0.0368735522762379,0.999924476037991,,,,,,,
Stacking,11.070020914077759,0.12437009811401367,0.9893516064713157,0.005022115933434105,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 20  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3 20  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2  8 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5  2  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9858356940509915,0.9857238349885408,0.9861411736411736,0.9859855808864306,,,f1_macro,F1-Score (Macro),0.9851662495692437,,,,,,,,,
SVM,0.20742392539978027,0.029816150665283203,0.9815375684611695,0.00911619809591554,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3  8  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 12 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19 10  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16  8  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  3  2 16 12  6 16  8  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2  8 11  3 19 17  1  2 19 10 16 14 19  6 19 12
 15 18  5  2  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9801699716713881,0.9806149732620321,0.9804519852906949,0.9799948941774768,,,balanced_accuracy,Balanced Accuracy,0.9793369731820971,,,809.0,2.2917847025495752,6.537764183576473,,,,
XGBoost,1.0649561882019043,0.005940914154052734,0.9851013351505514,0.009351047531480744,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 13
 14 11 21 15  1 10 15 17  7 16 15 14  6  0  5 16 11 14  9  0  8 10 13 19
  0 17  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 16 16  1 11  3 20  3 20  1 16 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21 11  8 20 13 21 12 16 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19  2  1 16  5 18 21 21  2  8 12  7
  3  5 19 21 12 11  4  1 21  9 12 20  4  1 21  1 20  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5 10
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1 20 12  7  9 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6  4  1  6
 10  0  2  2  8  9 16 21  2 20 11  3 19 17  1  2 19  2 16 14 19  6 19 12
 15 18  5  2  8 11 18  2 11  8 11 19 21 14 18  4 15]",0.9773371104815864,0.9770339954163485,0.9763598283418286,0.9765172466190594,,,log_loss,Log Loss (lower is better),0.9763596838180346,0.07381223006094753,0.9998421913950366,,,,,,,
Neural Network,0.570582389831543,0.0007395744323730469,0.9524444107922566,0.016279113984317344,"[ 6 15 18 13 19  4  0  5 17 20 21  2 12 12 13  3  4 19 20 10 18  3 20 18
 14 11 21 21  1 10 15 20  7 16 15 14  6  0  5 16 11 14  9  0 20  2 13 19
  0 20  5  3 15  4  9 14 16  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 16  1 11  3 20  3 20  1 19 13  4  6 19 14  1 13 20 15 20 19  8  0
 13 15  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 12 21 12 16 18 12 20
  8 14  0 20  7  0 15 17  1  5  8  9 19 10  1 16  5 18 21 21  2  8 12  7
  3  8 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17 17 18 16  9  0 19 14  4  5  7  9 12 11 19 17  8  1
 13 16  7 11 10 21  4  4  2 18 16 20  7 10 10 15 15 17  9 19  9  2 12  4
  3 13 12  0 10 21 11  2 10  9 18  7  6 20  3 10  2  4  6  1  3 17  5  2
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1  8 12  7  3 13 16 12  6 16 20  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 15  6 21 18 14 16  6 19  1  6
 10  0  2  2 20  9 16 21  2 20 11  3 19 17  1  2 19 10 16 14 19  6 19 12
 15 18  5  2  8 11 18  2 11  8 11 19 21 14 18  8 15]",0.9461756373937678,0.9452842500636618,0.9467789094949844,0.9465444404109615,,,log_loss,Log Loss (lower is better),0.9438491234587814,0.2406044863954014,,,,,,43.0,0.13189186625177188,1.205737361967408
Logistic Regression,0.31124067306518555,0.002021312713623047,0.9183766184599076,0.008142480904931724,"[11 15 18 13 19  4  0  5 17  8 21  2 12 12 13  3  4 19 20 10 18  3  8 13
 14 11 21 21  1 10 15  8  7  4 15 14  6  0  5 16 11 14  9  0  8  2 13 19
  0  8  5  3 15  4  9 14 19  4  5  6  0  6 12 20 13 11  6 18 11  7  7  1
  0 14 17  1 11  3  8  3 20  1 19 13  4  6 19 14  1 13 20 15  8 19  8  0
 13 21  3  9 13  5 12  7  2 15 11  0 17 21  8  8 20 12 21 12 19 18 12 20
  8 14  0  8  7  0 15 17  1  5  8  9 19 10  1 16  5 18 21 21  2  8 12  7
  3  8 19 21 12 11  4  1 21  9 12 20  4  1 21  1  8  5  2  6 14 20 12 15
 15 17  7 20  0  3 17  8 18 16  9  0 19 14  4  5  7 18 12 11 19 17  8  1
 13 19  7 11 10 21  4  4  2 18 19 20  7 10 13 15 15 17  9 19  9  2 12  4
  3 18 12  0 10 21 11  2  2  9 18  7 11  8  3 10  2  4 11  1  3 17  5  2
  9 17 12  1  6 21 11  1  7 14 11  4  7 10  6 10 21  6 13 18 21  3 13 14
  5 17 10  5  0  7  9 18 16  1  8 12  7  3 13 16 12  6 16  8  9 15 14  7
  5 14 20  5 19 10  9 10 21 13  9 10  9  0 21  6 21 18 14 16  6 19  1  6
 10  0  2  2  8  9 19 21  2  8 11  3 19 17  1  2 19 10 16 14 19  6 19 12
 21 18  5  2  8 11 18  2 11  8 11 19 21 14 11  8 21]",0.8923512747875354,0.8934078176725236,0.8920427440174222,0.8909387701739002,,,log_loss,Log Loss (lower is better),0.8884603117781592,0.8299992571289961,,,,,0.45975331320056384,,,
