Crop_encoded
31
8
27
20
19
27
18
31
18
22
17
9
16
37
21
3
31
31
2
10
10
2
17
13
19
13
18
0
2
26
10
37
0
6
25
26
27
37
15
13
10
21
27
23
31
17
15
21
19
16
37
19
17
0
29
31
27
18
26
25
26
17
8
20
16
6
9
19
3
2
9
27
17
27
31
31
9
13
10
29
17
37
25
16
6
15
13
30
19
10
20
25
0
9
27
19
0
8
25
37
27
26
25
17
2
17
9
13
27
3
37
3
13
13
31
10
22
6
3
26
29
29
26
27
20
16
3
20
31
20
37
37
19
8
13
21
16
20
17
15
9
16
31
37
26
2
21
6
19
13
21
20
9
29
8
3
22
16
21
2
19
16
25
27
21
18
29
29
10
18
21
16
29
0
31
27
15
19
16
18
9
16
25
6
15
26
20
0
3
22
8
3
15
15
17
9
37
20
8
10
29
37
29
35
0
29
19
21
22
3
16
8
13
2
2
15
20
26
15
10
29
25
17
17
19
16
15
2
29
8
0
16
16
20
26
10
6
25
19
2
9
18
0
31
10
20
37
16
29
6
16
29
27
6
26
6
2
29
13
0
21
27
6
19
6
27
37
0
16
17
26
27
9
3
10
25
10
22
9
20
9
13
18
18
22
17
18
21
10
18
29
6
21
8
29
19
16
6
20
10
3
19
10
18
20
19
16
29
15
13
17
3
31
22
22
8
15
20
21
17
19
27
37
18
10
22
13
17
37
37
0
19
20
15
8
15
0
25
9
31
13
6
37
18
22
10
19
18
2
27
36
0
2
22
19
26
0
15
9
17
3
31
20
22
22
37
27
13
20
8
26
22
32
10
0
19
26
19
16
19
27
13
2
13
2
10
16
6
3
17
15
2
15
8
19
9
2
18
17
8
37
6
21
17
3
19
10
10
20
20
8
3
2
0
22
25
26
3
37
17
18
3
13
6
9
10
2
21
20
19
16
10
22
10
37
22
22
31
37
22
22
37
2
29
0
21
15
0
26
2
22
27
0
6
3
9
16
37
6
20
20
13
6
25
17
3
22
10
9
31
21
10
13
20
10
16
8
20
29
25
37
15
29
3
22
9
19
13
19
18
22
3
2
3
20
29
22
10
15
20
31
8
2
13
29
16
13
15
31
15
21
3
16
31
29
13
25
29
27
18
18
0
27
26
27
2
26
6
0
31
25
17
19
0
2
15
25
19
37
26
37
10
16
37
27
2
0
17
13
15
17
13
16
22
18
2
2
2
31
26
25
9
10
29
27
3
19
21
9
31
22
8
26
21
37
25
21
6
18
37
29
22
0
2
20
9
8
6
27
2
21
31
3
29
37
6
25
16
20
22
16
18
0
25
29
18
13
0
8
22
26
9
15
26
15
37
25
10
29
10
16
25
9
16
13
13
6
19
29
26
16
9
29
21
