,0
Apple,0
Arecanut,1
Banana,2
Blackgram,3
Brinjal,4
Cashew,5
ChickPea,6
Chilli,7
Coconut,8
Coffee,9
Cotton,10
Cumin,11
Garlic,12
Grapes,13
Jowar,14
Jute,15
KidneyBeans,16
Lentil,17
Maize,18
Mango,19
MothBeans,20
MungBean,21
Muskmelon,22
Okra,23
Onion,24
Orange,25
Papaya,26
PigeonPeas,27
Pineapple,28
Pomegranate,29
Ragi,30
Rice,31
Sesame,32
Sugarcane,33
Tapioca,34
Tomato,35
Tur,36
Watermelon,37
